obj_id,spec_obj_id,u,g,r,i,z,redshift,class,split
1237660961327743232,6543777369295181824,23.87882,22.2753,20.39501,19.16573,18.79371,0.6347936,GALAXY,train
1237664879951151360,11760142036707334144,24.77759,22.83188,22.58444,21.16812,21.61427,0.779136,GALAXY,train
1237660961330430208,5152200256025548800,25.26307,22.66389,20.60976,19.34857,18.94827,0.6441945,GALAXY,test
1237663478724297984,10301071412954421248,22.13682,23.77656,21.61162,20.50454,19.2501,0.9323456,GALAXY,train
1237680272041378048,6891864880783316992,19.43718,17.58028,16.49747,15.97711,15.54461,0.1161227,GALAXY,train
1237680272039609088,5658976714552006656,23.48827,23.33776,21.32195,20.25615,19.54544,1.424659,QSO,train
1237678858481565952,1.2462617271914e+19,21.46973,21.17624,20.92829,20.60826,20.42573,0.5864546,QSO,train
1237678858473963776,6961443351364392960,22.24979,22.02172,20.34126,19.48794,18.84999,0.477009,GALAXY,train
1237661435386659840,7459284627188111360,24.40286,22.35669,20.61032,19.4649,18.95852,0.660012,GALAXY,train
1237670961088168192,2751763212482406400,21.74669,20.03493,19.17553,18.81823,18.65422,-7.895373e-06,STAR,test
1237680272034169856,5652161941432719360,25.77163,22.52042,20.63884,19.78071,19.05765,0.4595958,GALAXY,train
1237662341088150272,5322363975769544704,23.76761,23.79969,20.98318,19.80745,19.45579,0.5914091,GALAXY,train
1237680507721220352,7323010883747338240,23.17274,20.14496,19.41948,19.22034,18.89359,7.182029e-05,STAR,train
1237678858459349248,5702738100025055232,20.8294,18.75091,17.51118,17.01631,16.62772,0.1521936,GALAXY,test
1237663478726984960,10375386573252614144,23.20911,22.79291,22.08589,21.86282,21.8512,0.8181597,GALAXY,test
1237662341088543744,5322135277350967296,24.8868,22.13311,20.44728,19.49171,18.9747,0.4849288,GALAXY,train
1237678598087508224,4822278327657322496,24.5489,21.44267,20.95315,20.7936,20.48442,-0.000428576,STAR,train
1237678598091112704,9843824103072749568,20.38562,20.40514,20.29996,20.05918,19.89044,2.031528,QSO,train
1237678598096748800,9855072926793226240,21.82154,20.5573,19.94918,19.76057,19.55514,-0.0004402762,STAR,train
1237651539783057664,551859486873118720,20.48292,18.67807,17.6168,17.11936,16.73351,0.1115879,GALAXY,test
1237651539783844096,552974117003880448,22.13367,20.84772,18.96537,18.31696,17.98124,0.3747563,GALAXY,train
1237657589775073536,8237291638734739456,24.54793,22.33601,20.92259,19.87177,19.16934,-0.0001203588,STAR,train
1237657589775204864,939032172122105856,25.44243,20.77028,19.6617,19.08481,18.83176,0.6623096,GALAXY,train
1237657589775401216,8228240458998110208,21.73992,21.53095,21.26763,21.36257,21.15861,2.07568,QSO,train
1237662341086970112,1568479772680415232,18.88323,17.54229,17.01789,16.75376,16.72259,0.03208113,GALAXY,train
1237658423542022144,1339873160740235264,21.2611,20.50495,18.36379,23.17828,17.96264,0.2509563,GALAXY,test
1237658423546544640,5484305274931271680,25.98497,21.31456,19.61107,18.83178,18.27728,0.4612782,GALAXY,train
1237658423545364736,5483188445911472128,25.46577,22.4065,21.43408,20.26256,19.98775,0.6110625,GALAXY,train
1237663478721872128,1164231128404486144,20.53324,18.84066,18.05369,17.60397,17.2903,0.09108476,GALAXY,train
1237663478723575808,423401897722931200,20.15491,18.37295,17.31276,16.82294,16.44342,0.1482283,GALAXY,train
1237662341092606208,1765465807799740416,24.36048,20.3777,18.53392,17.84004,17.44505,0.3846326,GALAXY,test
1237662341086380544,5319915913432291328,23.08039,22.02426,20.80525,19.90149,19.37544,0.546072,GALAXY,train
1237668736824770816,6783633077820479488,23.73066,22.82349,21.32414,19.81448,19.28439,0.7491816,GALAXY,train
1237678858480189696,12468299823421085696,21.89214,21.35124,21.18755,20.843,20.7658,1.528308,QSO,test
1237673709872218624,5485487525077473280,22.88916,21.63309,20.06106,19.13263,18.9481,0.5091722,GALAXY,train
1237678439702987264,4793227299863681024,23.8628,22.7784,20.98458,19.70143,19.24533,0.5981273,GALAXY,train
1237654606389051904,4297789006249482240,24.06677,23.00891,21.0967,20.12869,19.68312,0.5215806,GALAXY,train
1237657401346294016,937937608263100416,20.71552,18.85877,17.72017,17.24668,16.87722,0.1769632,GALAXY,train
1237660635987836928,1.1530560710276e+19,20.66654,22.21825,24.8026,21.43702,22.82647,0.0003084856,STAR,train
1237673705043460864,4281990677385205760,22.42006,21.26692,19.40369,18.74999,18.26678,0.349364,GALAXY,test
1237662194525405440,9437545757999912960,21.20149,19.77107,19.27176,19.04226,18.9441,4.827565e-05,STAR,train
1237671125376500480,10794100668908197888,25.52618,22.45513,21.82048,20.83807,20.28395,0.8072085,GALAXY,train
1237665126931431680,5180502509907892224,23.27982,20.35433,18.79782,18.13757,17.74069,0.2701222,GALAXY,train
1237680246802810112,5662274972795820032,27.0971,22.56329,20.61106,19.698,19.07937,0.5719764,GALAXY,train
1237661971723780608,6082161698860718080,22.26849,21.88272,19.86473,18.81373,18.06582,0.5932347,GALAXY,train
1237672816510566656,8676279367217993728,22.33744,20.02736,19.2826,19.04074,18.90521,-9.960094e-05,STAR,train
1237678622245192192,10602805166553192448,22.79262,22.29579,22.23841,21.55672,21.01273,1.065883,GALAXY,train
1237668332031508992,6179026750565275648,22.36261,21.7106,21.5963,21.60179,21.12727,2.689002,QSO,test
1237678597547163904,12726140246930249728,21.90143,21.79169,21.44344,21.25545,21.07686,1.289637,QSO,train
1237660961324990720,1427672192287533056,24.91692,21.27143,19.59078,18.90489,18.49419,0.3208058,GALAXY,train
