class,color_index,mean,std,median
GALAXY,u_g,1.681278,1.232879,1.64035
GALAXY,g_r,1.31855,0.625984,1.40446
GALAXY,r_i,0.735562,0.396865,0.72018
GALAXY,i_z,0.402833,0.346448,0.39079
QSO,u_g,0.621426,0.835032,0.39343
QSO,g_r,0.302104,0.446166,0.21362
QSO,r_i,0.192916,0.385567,0.15221
QSO,i_z,0.164441,0.395095,0.15733
STAR,u_g,1.536688,0.941647,1.3194
STAR,g_r,0.670137,0.656618,0.52696
STAR,r_i,0.403245,0.610692,0.21087
STAR,i_z,0.209465,0.546539,0.11552
ALL,u_g,1.449096,1.179332,1.32171
ALL,g_r,0.985806,0.734675,0.93146
ALL,r_i,0.560912,0.501518,0.4798
ALL,i_z,0.315877,0.420396,0.33803
