class,feature,count,mean,std,min,q25,median,q75,max
GALAXY,u,59445,22.587379,2.264355,13.89799,20.79476,22.84177,24.20741,29.32565
GALAXY,g,59445,20.906101,2.107755,12.67902,18.91268,21.5822,22.44513,31.60224
GALAXY,r,59445,19.587552,1.874133,11.74664,17.81715,20.10459,20.97461,29.57186
GALAXY,i,59445,18.85199,1.689809,11.29956,17.37967,19.22366,19.94709,30.16359
GALAXY,z,59445,18.449156,1.656302,10.89738,17.09567,18.76663,19.47226,29.38374
GALAXY,redshift,59445,0.421596,0.264858,-0.009971,0.164527,0.456274,0.594699,1.995524
QSO,u,18961,21.547619,1.495879,10.99623,20.63764,21.50324,22.28647,32.78139
QSO,g,18961,20.926193,1.163239,13.66217,20.24973,21.05629,21.68777,27.89482
QSO,r,18961,20.624089,1.084237,12.35763,20.00633,20.77272,21.41345,27.39709
QSO,i,18961,20.431173,1.080135,12.63744,19.81107,20.58211,21.20228,32.14147
QSO,z,18961,20.266732,1.095076,11.30247,19.64425,20.37397,21.00123,28.79055
QSO,redshift,18961,1.719676,0.913954,0.000461,1.106605,1.617232,2.220279,7.011245
STAR,u,21593,21.15383,2.360482,12.10168,19.32774,21.01065,22.96063,30.66039
STAR,g,21593,19.617142,2.119478,10.4982,18.03487,19.54283,21.22877,30.607
STAR,r,21593,18.947005,1.972825,9.82207,17.45395,18.95513,20.55757,29.37411
STAR,i,21593,18.54376,1.841753,9.469903,17.1396,18.59239,20.04198,30.25009
STAR,z,21593,18.334295,1.843201,9.612333,16.96417,18.31923,19.72963,26.42779
STAR,redshift,21593,-0.000115,0.000465,-0.004136,-0.000295,-7.6e-05,7.5e-05,0.004153
ALL,u,99999,22.080679,2.251068,10.99623,20.35241,22.17914,23.68748,32.78139
ALL,g,99999,20.631583,2.037384,10.4982,18.96524,21.09993,22.123775,31.60224
ALL,r,99999,19.645777,1.854763,9.82207,18.135795,20.12531,21.04479,29.57186
ALL,i,99999,19.084865,1.7579,9.469903,17.73228,19.40515,20.39651,32.14147
ALL,z,99999,18.768988,1.765982,9.612333,17.46083,19.0046,19.92112,29.38374
ALL,redshift,99999,0.576667,0.730709,-0.009971,0.054522,0.424176,0.704172,7.011245
