class,fpr,tpr
GALAXY,0.0,0.024476
GALAXY,0.005025,0.756582
GALAXY,0.01005,0.877197
GALAXY,0.015075,0.940197
GALAXY,0.020101,0.961561
GALAXY,0.025126,0.979477
GALAXY,0.030151,0.986542
GALAXY,0.035176,0.989654
GALAXY,0.040201,0.991505
GALAXY,0.045226,0.993103
GALAXY,0.050251,0.994365
GALAXY,0.055276,0.994953
GALAXY,0.060302,0.995542
GALAXY,0.065327,0.995879
GALAXY,0.070352,0.996131
GALAXY,0.075377,0.996383
GALAXY,0.080402,0.996551
GALAXY,0.085427,0.99672
GALAXY,0.090452,0.996972
GALAXY,0.095477,0.997253
GALAXY,0.100503,0.997477
GALAXY,0.105528,0.997897
GALAXY,0.110553,0.997897
GALAXY,0.115578,0.997981
GALAXY,0.120603,0.997981
GALAXY,0.125628,0.998065
GALAXY,0.130653,0.99815
GALAXY,0.135678,0.99815
GALAXY,0.140704,0.99815
GALAXY,0.145729,0.99815
GALAXY,0.150754,0.998198
GALAXY,0.155779,0.998318
GALAXY,0.160804,0.998318
GALAXY,0.165829,0.998318
GALAXY,0.170854,0.998318
GALAXY,0.175879,0.998402
GALAXY,0.180905,0.998457
GALAXY,0.18593,0.998486
GALAXY,0.190955,0.998486
GALAXY,0.19598,0.998486
GALAXY,0.201005,0.998486
GALAXY,0.20603,0.99857
GALAXY,0.211055,0.99857
GALAXY,0.21608,0.99857
GALAXY,0.221106,0.998654
GALAXY,0.226131,0.998654
GALAXY,0.231156,0.998654
GALAXY,0.236181,0.998654
GALAXY,0.241206,0.998907
GALAXY,0.246231,0.998907
GALAXY,0.251256,0.998907
GALAXY,0.256281,0.998907
GALAXY,0.261307,0.998907
GALAXY,0.266332,0.999159
GALAXY,0.271357,0.999159
GALAXY,0.276382,0.999243
GALAXY,0.281407,0.999243
GALAXY,0.286432,0.999243
GALAXY,0.291457,0.999243
GALAXY,0.296482,0.999243
GALAXY,0.301508,0.999243
GALAXY,0.306533,0.999243
GALAXY,0.311558,0.999243
GALAXY,0.316583,0.999243
GALAXY,0.321608,0.999243
GALAXY,0.326633,0.999243
GALAXY,0.331658,0.999243
GALAXY,0.336683,0.999243
GALAXY,0.341709,0.999243
GALAXY,0.346734,0.999243
GALAXY,0.351759,0.999243
GALAXY,0.356784,0.999243
GALAXY,0.361809,0.999243
GALAXY,0.366834,0.999327
GALAXY,0.371859,0.999327
GALAXY,0.376884,0.999327
GALAXY,0.38191,0.999327
GALAXY,0.386935,0.999411
GALAXY,0.39196,0.999411
GALAXY,0.396985,0.999421
GALAXY,0.40201,0.999431
GALAXY,0.407035,0.999441
GALAXY,0.41206,0.999452
GALAXY,0.417085,0.999462
GALAXY,0.422111,0.999472
GALAXY,0.427136,0.999482
GALAXY,0.432161,0.999492
GALAXY,0.437186,0.999495
GALAXY,0.442211,0.999495
GALAXY,0.447236,0.999495
GALAXY,0.452261,0.999495
GALAXY,0.457286,0.999495
GALAXY,0.462312,0.999495
GALAXY,0.467337,0.999495
GALAXY,0.472362,0.999495
GALAXY,0.477387,0.999495
GALAXY,0.482412,0.999495
GALAXY,0.487437,0.999495
GALAXY,0.492462,0.999495
GALAXY,0.497487,0.999495
GALAXY,0.502513,0.999496
GALAXY,0.507538,0.999506
GALAXY,0.512563,0.999515
GALAXY,0.517588,0.999525
GALAXY,0.522613,0.999535
GALAXY,0.527638,0.999544
GALAXY,0.532663,0.999554
GALAXY,0.537688,0.999564
GALAXY,0.542714,0.999573
GALAXY,0.547739,0.999583
GALAXY,0.552764,0.999593
GALAXY,0.557789,0.999602
GALAXY,0.562814,0.999612
GALAXY,0.567839,0.999622
GALAXY,0.572864,0.999631
GALAXY,0.577889,0.999641
GALAXY,0.582915,0.999651
GALAXY,0.58794,0.99966
GALAXY,0.592965,0.999748
GALAXY,0.59799,0.999748
GALAXY,0.603015,0.999748
GALAXY,0.60804,0.999748
GALAXY,0.613065,0.999748
GALAXY,0.61809,0.999748
GALAXY,0.623116,0.999748
GALAXY,0.628141,0.999748
GALAXY,0.633166,0.999748
GALAXY,0.638191,0.999748
GALAXY,0.643216,0.999748
GALAXY,0.648241,0.999748
GALAXY,0.653266,0.999748
GALAXY,0.658291,0.999748
GALAXY,0.663317,0.999748
GALAXY,0.668342,0.999748
GALAXY,0.673367,0.999832
GALAXY,0.678392,0.999832
GALAXY,0.683417,0.999832
GALAXY,0.688442,0.999832
GALAXY,0.693467,0.999832
GALAXY,0.698492,0.999916
GALAXY,0.703518,0.999916
GALAXY,0.708543,0.999916
GALAXY,0.713568,0.999916
GALAXY,0.718593,0.999916
GALAXY,0.723618,0.999916
GALAXY,0.728643,0.999916
GALAXY,0.733668,0.999916
GALAXY,0.738693,0.999917
GALAXY,0.743719,0.999919
GALAXY,0.748744,0.99992
GALAXY,0.753769,0.999922
GALAXY,0.758794,0.999924
GALAXY,0.763819,0.999925
GALAXY,0.768844,0.999927
GALAXY,0.773869,0.999928
GALAXY,0.778894,0.99993
GALAXY,0.78392,0.999932
GALAXY,0.788945,0.999933
GALAXY,0.79397,0.999935
GALAXY,0.798995,0.999936
GALAXY,0.80402,0.999938
GALAXY,0.809045,0.99994
GALAXY,0.81407,0.999941
GALAXY,0.819095,0.999943
GALAXY,0.824121,0.999944
GALAXY,0.829146,0.999946
GALAXY,0.834171,0.999947
GALAXY,0.839196,0.999949
GALAXY,0.844221,0.999951
GALAXY,0.849246,0.999952
GALAXY,0.854271,0.999954
GALAXY,0.859296,0.999955
GALAXY,0.864322,0.999957
GALAXY,0.869347,0.999959
GALAXY,0.874372,0.99996
GALAXY,0.879397,0.999962
GALAXY,0.884422,0.999963
GALAXY,0.889447,0.999965
GALAXY,0.894472,0.999967
GALAXY,0.899497,0.999968
GALAXY,0.904523,0.99997
GALAXY,0.909548,0.999971
GALAXY,0.914573,0.999973
GALAXY,0.919598,0.999975
GALAXY,0.924623,0.999976
GALAXY,0.929648,0.999978
GALAXY,0.934673,0.999979
GALAXY,0.939698,0.999981
GALAXY,0.944724,0.999982
GALAXY,0.949749,0.999984
GALAXY,0.954774,0.999986
GALAXY,0.959799,0.999987
GALAXY,0.964824,0.999989
GALAXY,0.969849,0.99999
GALAXY,0.974874,0.999992
GALAXY,0.979899,0.999994
GALAXY,0.984925,0.999995
GALAXY,0.98995,0.999997
GALAXY,0.994975,0.999998
GALAXY,1.0,1.0
QSO,0.0,0.227057
QSO,0.005025,0.913238
QSO,0.01005,0.941192
QSO,0.015075,0.948312
QSO,0.020101,0.953323
QSO,0.025126,0.958333
QSO,0.030151,0.962025
QSO,0.035176,0.965981
QSO,0.040201,0.968354
QSO,0.045226,0.971255
QSO,0.050251,0.972574
QSO,0.055276,0.973101
QSO,0.060302,0.974684
QSO,0.065327,0.975738
QSO,0.070352,0.97653
QSO,0.075377,0.977321
QSO,0.080402,0.978112
QSO,0.085427,0.979167
QSO,0.090452,0.979958
QSO,0.095477,0.980485
QSO,0.100503,0.981013
QSO,0.105528,0.98154
QSO,0.110553,0.982331
QSO,0.115578,0.982859
QSO,0.120603,0.983386
QSO,0.125628,0.984177
QSO,0.130653,0.984441
QSO,0.135678,0.984441
QSO,0.140704,0.984705
QSO,0.145729,0.986023
QSO,0.150754,0.986287
QSO,0.155779,0.987605
QSO,0.160804,0.988397
QSO,0.165829,0.989188
QSO,0.170854,0.989451
QSO,0.175879,0.989979
QSO,0.180905,0.990243
QSO,0.18593,0.99077
QSO,0.190955,0.99077
QSO,0.19598,0.991034
QSO,0.201005,0.991034
QSO,0.20603,0.991034
QSO,0.211055,0.991561
QSO,0.21608,0.992089
QSO,0.221106,0.992089
QSO,0.226131,0.992616
QSO,0.231156,0.992616
QSO,0.236181,0.992616
QSO,0.241206,0.992616
